,PREC_ID,DEM,REP,OTHER,W,B,I,M,O,P,U,A
127,02-04,604,986,973,2084,91,4,15,73,0,232,64
128,02-05,1559,2053,2037,3942,764,15,26,161,0,639,102
129,02-06,2105,2054,2438,4133,1263,8,33,236,1,829,94
130,02-07,895,1439,1239,2558,390,7,12,57,0,493,56
131,02-08,2289,2131,2969,4144,1396,20,52,267,0,1159,351
132,02-09,2394,1923,3309,3756,1515,50,59,327,0,1346,573
133,02-25,1619,574,849,1092,1294,352,8,17,0,262,17
134,02.1,1933,147,1253,2198,598,3,34,64,2,420,14
135,020,749,681,1088,2168,54,3,8,48,0,193,44
136,0200A,937,916,824,1753,645,11,8,77,0,177,6
137,0200B,1140,495,547,947,1027,2,4,55,0,146,1
138,0201,684,265,162,510,522,0,2,8,0,69,0
139,020A,1504,2199,2200,4037,607,13,22,161,0,983,80
140,020B,859,2133,1835,3911,208,10,23,115,0,479,81
141,021,1942,3658,3071,7112,540,24,36,137,0,772,50
142,0212,561,984,813,1825,219,8,7,25,0,222,52
143,022,3954,3721,5027,8437,1872,21,68,260,0,1833,211
144,023,2006,1155,1520,2397,1583,11,39,143,0,471,37
145,024,2389,1464,1739,2834,1987,9,44,126,0,559,33
146,025,2579,963,1236,1608,2532,12,36,91,0,484,15
147,026,2978,1173,1499,1997,2764,22,38,195,0,572,62
148,027,2319,1056,1338,1814,2210,14,42,131,1,478,23
149,028,1424,238,821,837,1214,13,33,84,0,269,33
150,028A,1050,2306,2203,3844,400,22,27,218,0,699,349
151,028B,701,1670,1805,2943,166,26,15,165,0,543,318
152,028C,653,1592,1557,2832,211,14,13,106,0,452,174
153,028D,1087,1882,2092,3507,428,11,20,218,0,670,207
154,029,1069,292,855,1298,532,4,15,88,0,252,27
155,029A,1505,1583,1840,3020,714,3,58,308,0,739,86
156,029B,397,685,617,1257,154,5,12,53,0,192,26
157,029C,572,1086,932,1895,208,5,14,71,0,353,44
158,03,12287,14450,12622,28488,5105,638,164,675,1,3892,396
159,03 EGY,161,192,192,492,0,1,3,2,0,47,0
160,03-00,3060,4338,5247,8956,1060,31,71,361,0,1660,506
161,03.1,1307,100,1026,1934,145,3,26,41,1,274,9
162,030,3017,2323,3347,5887,1118,16,65,340,1,1125,135
163,0301,2667,720,1043,1449,2426,6,33,215,0,295,6
164,031,3672,2269,2619,3958,3220,16,61,251,0,988,66
165,032,1972,3741,2704,6521,773,12,25,149,0,865,72
166,033,2865,2028,2449,4174,1919,17,55,235,0,875,67
167,034,2796,3153,2999,5929,1580,28,61,273,0,992,85
168,035,2404,2948,3145,6488,737,12,59,152,0,940,109
169,036,1374,1787,1592,3796,474,8,15,89,0,337,34
170,037,703,740,1031,1980,91,2,17,51,0,286,47
171,037A,1421,2059,2105,3669,612,18,30,228,1,883,144
172,037B,238,774,498,1243,60,3,5,27,0,150,22
173,038,1035,453,1012,1486,525,4,26,102,1,320,36
174,038A,1091,1371,1345,2345,512,10,19,256,0,617,48
175,038B,533,1017,951,1807,182,11,14,85,0,375,27
176,039,2563,1420,1430,2108,2468,13,34,145,0,582,63
177,03A,1411,2275,1781,4774,124,4,7,48,0,505,5
178,03C,629,974,693,1871,156,2,10,52,0,171,34
179,03N,1111,1068,1125,2600,262,2,32,54,0,307,47
180,03N2,257,234,242,682,11,0,0,2,0,37,1
181,03S,2256,2149,2452,4269,1158,16,53,220,0,978,163
182,03W,776,1136,1012,2220,282,12,14,50,0,321,25
183,04,13822,21857,16530,38705,5127,2142,185,851,1,4974,224
184,04 RAM,85,127,124,298,0,2,1,0,0,34,1
185,04-01,2086,1351,1962,3354,1106,13,33,159,0,654,80
186,04-02,1017,618,1216,2008,241,4,27,164,0,328,79
187,04-03,1931,1397,1877,3129,1077,9,43,197,1,675,74
188,04-04,786,378,777,1154,318,1,23,108,0,284,53
189,04-05,1317,854,1727,2640,232,8,17,246,0,412,343
190,04-06,1032,787,1350,2526,129,4,29,108,1,288,84
191,04-07,712,1087,1103,2500,48,1,16,87,0,188,62
192,04-08,1522,1068,1850,2623,715,19,31,202,0,628,222
193,04-09,1671,2255,2461,4260,724,20,35,229,1,801,317
194,04-10,898,661,1378,2162,144,2,11,131,1,335,151
195,04-11,1886,1242,1873,2843,1057,15,44,234,1,697,110
196,04-12,3027,1924,2938,4623,1750,10,61,284,2,1006,153
197,04-13,2949,3307,4241,7092,1066,28,67,480,1,1084,679
198,04-14,606,434,750,1450,67,2,13,55,0,177,26
199,04-15,928,588,1235,1993,229,7,15,116,0,302,89
200,04-16,789,460,1011,1770,101,5,12,69,0,251,52
201,04-17,713,392,930,1398,168,7,20,86,0,298,58
202,04-18,1078,609,1499,2071,268,4,25,149,0,484,185
203,04-19,568,446,950,1507,73,3,19,118,0,151,93
204,04-20,1251,672,1501,2186,388,7,29,189,0,453,172
205,04-21,861,344,1021,1090,432,4,27,161,0,421,91
206,04.1,771,118,591,1257,45,0,8,17,0,145,8
207,040,2853,1829,2250,3317,2414,20,45,190,0,752,194
208,0401,1251,394,371,829,1052,6,9,25,0,94,1
209,041,2639,2173,2431,3489,2273,31,47,207,0,861,335
210,042,4174,1978,2406,3413,3642,27,59,290,1,1064,62
211,043,3924,1202,2242,2387,3344,24,65,427,1,1033,87
212,044,755,336,779,1413,203,3,13,42,1,163,32
213,045,1058,322,819,902,611,8,22,175,0,318,163
214,046,1468,364,1298,1686,813,6,37,108,0,428,52
